"<a>","Defines a hyperlink."
"<abbr>","Defines an abbreviated form of a longer word or phrase."
"<acronym>","#Obsolete use <abbr> instead."
"<address>","Specifies the author's contact information."
"<applet>","#Obsolete use <object> instead."
"<area>","Defines a specific area within an image map."
"<article>","New in HTML5 - Defines an article."
"<aside>","New in HTML5 - Defines some content loosely related to the page content."
"<audio>","New in HTML5 - Embeds a sound, or an audio stream in an HTML document."
"<b>","Displays text in a bold style."
"<base>","Defines the base URL for all relative URLs in a document."
"<basefont-tag>","#Obsolete - Specifies the base font for a page using CSS instead."
"<bdi-tag>","New in HTML5 - Represents text that is isolated from its surrounding for the purposes of bidirectional text formatting."
"<bdo>","Overrides the current text direction."
"<big-tag>","#Obsolete - Specifies the base font for a page using CSS instead."
"<blockquote>","Represents a section that is quoted from another source."
"<body>","Defines the document's body."
"<br>","Produces a single line break."
"<button>","Creates a clickable button."
"<canvas>","New in HTML5 - Defines a region in the document, which can be used to draw graphics on the fly via scripting (usually JavaScript)."
"<caption>","Defines the caption or title of the table."
"<center>","#Obsolete - Align contents in the center using CSS instead."
"<cite>","Indicates a citation or reference to another source."
"<code>","Specifies text as computer code."
"<col>","Defines attribute values for one or more columns in a table."
"<colgroup>","Specifies attributes for multiple columns in a table."
"<data>","New in HTML5 - Links a piece of content with a machine-readable translation."
"<datalist>","New in HTML5 - Represents a set of pre-defined options for an "input-tag"<input> element."
"<dd>","Specifies a description, or value for the term <dt> in a description list <dl>."
"<del>","Represents text that has been deleted from the document."
"<details>","New in HTML5 - Represents a widget from which the user can obtain additional information or controls on-demand."
"<dfn>","Specifies a definition."
"<dialog>","New in HTML5 -Defines a dialog box or subwindow."
"<dir>","#Obsolete - Use CSS instead."
"<div>","Specifies a division or a section in a document."
"<dl>","Defines a description list."
"<dt>","Defines a term (an item) in a description list."
"<em>","Defines emphasized text."
"<embed>","New in HTML5 - Embeds external application, typically multimedia content like audio or video into an HTML document."
"<fieldset>","Specifies a set of related form fields."
"<figcaption>","New in HTML5 - Defines a caption or legend for a figure."
"<figure>","New in HTML5 - Represents a figure illustrated as part of the document."
"<font>","#Obsolete - Specifies the base font for a page using CSS instead."
"<footer>","New in HTML5 - Represents the footer of a document or a section."
"<form>","Defines an HTML form for user input."
"<frame>","#Obsolete - Defines a frames. supported. Not supported in HTML5."
"<frameset>","#Obsolete - Defines a collection of frames or other frameset. Not supported in HTML5."
"<head>","Defines the head portion of the document that contains information about the document such as title."
"<header>","New in HTML5 - Represents the header of a document or a section."
"<hgroup>","New in HTML5 - Defines a group of headings."
"<h1>" "to <h6>,Defines HTML headings."
"<hr>","Produce a horizontal line."
"<html>","Defines the root of an HTML document."
"<i>","Displays text in an italic style."
"<iframe>","Displays a URL in an inline frame."
"<img>","Represents an image."
"<input>","Defines an input control."
"<ins>","Defines a block of text that has been inserted into a document."
"<kbd>","Specifies text as keyboard input."
"<keygen>","New in HTML5 - Represents a control for generating a public-private key pair."
"<label>","Defines a label for an <input> control."
"<legend>","Defines a caption for a <fieldset> element."
"<li>","Defines a list item."
"<link>","Defines the relationship between the current document and an external resource."
"<main>","New in HTML5 - Represents the main or dominant content of the document."
"<map>","Defines a client-side image-map."
"<mark>","New in HTML5 - Represents text highlighted for reference purposes."
"<menu>","Represents a list of commands."
"<menuitem>","New in HTML5 - Defines a list (or menuitem) of commands that a user can perform."
"<meta>","Provides structured metadata about the document content."
"<meter>","New in HTML5 - Represents a scalar measurement within a known range."
"<nav>","New in HTML5 - Defines a section of navigation links."
"<noframes>","#Obsolete - Defines an alternate content that displays in browsers. Not supported in HTML5."
"<noscript>","Defines alternative content to display when the browser doesn't support scripting."
"<object>","Defines an embedded object."
"<ol>","Defines an ordered list."
"<optgroup>","Defines a group of related options in a selection list."
"<option>","Defines an option in a selection list."
"<output>","New in HTML5 - Represents the result of a calculation."
"<p>","Defines a paragraph."
"<param>","Defines a parameter for an object or applet element."
"<picture>","New in HTML5 - >Defines a container for multiple image sources."
"<pre>","Defines a block of preformatted text."
"<progress>","New in HTML5 - Represents the completion progress of a task."
"<q>","Defines a short inline quotation."
"<rp>","New in HTML5 - Provides fall-back parenthesis for browsers that that don't support ruby annotations."
"<rt>","New in HTML5 - Defines the pronunciation of character presented in a ruby annotations."
"<ruby>","New in HTML5 - Represents a ruby annotation."
"<s>","Represents contents that are no longer accurate or no longer relevant."
"<samp>","Specifies text as sample output from a computer program."
"<script>","Places script in the document for client-side processing."
"<section>","New in HTML5 - Defines a section of a document, such as header, footer etc."
"<select>","Defines a selection list within a form."
"<small>","Displays text in a smaller size."
"<source>","New in HTML5 - Defines alternative media resources for the media elements like "audio-tag" or "video-tag"
"<span>","Defines an inline styleless section in a document."
"<strike>","#Obsolete - Specifies the base font for a page using CSS instead."
"<strong>","Indicate strongly emphasized text."
"<style>","Inserts style information (commonly CSS) into the head of a document."
"<sub>","Defines subscripted text."
"<summary>","New in HTML5 - Defines a summary for the "details-tag"
"<sup>","Defines superscripted text."
"<svg>","New in HTML5 - Embed SVG (Scalable Vector Graphics) content in an HTML document."
"<table>","Defines a data table."
"<tbody>","Groups a set of rows defining the main body of the table data."
"<td>","Defines a cell in a table."
"<template>","New in HTML5 - Defines the fragments of HTML that should be hidden when the page is loaded, but can be cloned and inserted in the" "document by JavaScript."
<textarea>","Defines a multi-line text input control (text area)."
"<tfoot>","Groups a set of rows summarizing the columns of the table."
"<th>","Defines a header cell in a table."
"<thead>","Groups a set of rows that describes the column labels of a table."
"<time>","New in HTML5 - Represents a time and/or date."
"<title>","Defines a title for the document."
"<tr>","Defines a row of cells in a table."
"<track>","New in HTML5 - Defines text tracks for the media elements like "audio-tag"<audio> or "video-tag"<video>."
"<tt>","#Obsolete - Displays text in a teletype style. Not supported in HTML5"
"<u>","Displays text with an underline."
"<ul>","Defines an unordered list."
"<var>","Defines a variable."
"<video>","New in HTML5 - Embeds video content in an HTML document."
"<wbr>","New in HTML5 - Represents a line break opportunity."
"